slide_name,blob_index,x_position,y_position,stack_size,reference_z,best_z,z_difference,best_index,focus_metric,color_metric,process_time,capture_status,index,type,id,score,slide_top_edge_px,slide_bottom_edge_px,slide_height_um,slide_found,slide_top_width_um,slide_bottom_width_um,slide_left_bottom_side_px,slide_left_top_side_px,slide_right_bottom_side_px,slide_right_top_side_px,slide_placed,slide_bottom_width_dimension_status,slide_top_width_dimension_status,distance_change_px,left_corner_difference_px,right_corner_difference_px,slope_px,angle_degrees,y_offset_px,x_offset_px,_source.data.x_offset_um,_source.data.y_offset_um,placement_status,x_dimen_status,y_dimen_status,height_status,slide_thickness,raw_slide_thickness,cluster_name,scanner_name,u_id,load_identifier,row_index,col_index,time_stamp,slide_id,row,column,loaded_date,_source.data.initial_box_0_0_px,_source.data.initial_box_0_1_px,_source.data.initial_box_1_0_px,_source.data.initial_box_1_1_px,_source.data.initial_box_2_0_px,_source.data.initial_box_2_1_px,_source.data.initial_box_3_0_px,_source.data.initial_box_3_1_px,_source.data.rect_start_x_px,_source.data.rect_start_y_px,_source.data.rect_start_width_px,_source.data.rect_start_height_px,_source.data.rect_angle,_source.data.bottom_edge_px,_source.data.bottom_right_side_edge_px,_source.data.final_box_0_0_px,_source.data.final_box_0_1_px,_source.data.final_box_1_0_px,_source.data.final_box_1_1_px,_source.data.final_box_2_0_px,_source.data.final_box_2_1_px,_source.data.final_box_3_0_px,_source.data.final_box_3_1_px,_source.data.hyp_pyth_theorem,_source.data.opp_pyth_theorem,_source.data.adj_pyth_theorem,permissible_angle,actual_angle,_source.data.expected_del_pos_x,_source.data.expected_del_pos_y,_source.data.zoomed_in_del_pos_x,_source.data.zoomed_in_del_pos_y,_source.data.zoom_in_out_ratio,_source.data.zoom_slope,_source.data.slide_pos_x,_source.data.slide_pos_y,_source.data.offset_pos_x_px,_source.data.offset_pos_y_px,offset_pos_x_um,offset_pos_y_um,_source.data.slide_height_px,_source.data.slide_width_px,slide_width_um,_source.data.y_stage_img_pos_status,_source.data.x_stage_img_pos_status,_source.data.error_x_pos,_source.data.error_y_pos,_source.data.slide_presence_probability,date,_merge
H01CBA05P_99093,2,21537.5,28168.75,25,6453.75,6455.625,-1.875,13,39.31391576,22.85005589,2.109653234,1,slide_placement,_doc,oxhW0XgBY1V5ZLgkEMCd,1,90,2021,75309,TRUE,25233,25701,747,88,748,735,TRUE,TRUE,TRUE,-13,-659,-13,,,,,,,TRUE,TRUE,FALSE,TRUE,1.25,27,CS002,H01CBA05P,,CS002-2-1618411711879,1,0,2021-04-14T17:03:01,99093,,,,,,,,,,,,,,,,,,,88,100,735,90,749,2012,88,2021,25.233,2.4,-0.546,5.45785487,-0.41735068,766,172,791,147,0.939759036,24.9,749,90,41.44216867,56.66626506,1618.75,2212.5,1931,647,25233,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA05P_99093,3,14250,38006.25,47,6455.625,6461.25,-5.625,26,30.63742773,21.11154399,2.058242321,1,slide_placement,_doc,oxhW0XgBY1V5ZLgkEMCd,1,90,2021,75309,TRUE,25233,25701,747,88,748,735,TRUE,TRUE,TRUE,-13,-659,-13,,,,,,,TRUE,TRUE,FALSE,TRUE,1.25,27,CS002,H01CBA05P,,CS002-2-1618411711879,1,0,2021-04-14T17:03:01,99093,,,,,,,,,,,,,,,,,,,88,100,735,90,749,2012,88,2021,25.233,2.4,-0.546,5.45785487,-0.41735068,766,172,791,147,0.939759036,24.9,749,90,41.44216867,56.66626506,1618.75,2212.5,1931,647,25233,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA05P_99093,4,18943.75,41462.5,47,6461.25,6442.5,18.75,13,37.3684825,29.5886291,1.52082181,1,slide_placement,_doc,oxhW0XgBY1V5ZLgkEMCd,1,90,2021,75309,TRUE,25233,25701,747,88,748,735,TRUE,TRUE,TRUE,-13,-659,-13,,,,,,,TRUE,TRUE,FALSE,TRUE,1.25,27,CS002,H01CBA05P,,CS002-2-1618411711879,1,0,2021-04-14T17:03:01,99093,,,,,,,,,,,,,,,,,,,88,100,735,90,749,2012,88,2021,25.233,2.4,-0.546,5.45785487,-0.41735068,766,172,791,147,0.939759036,24.9,749,90,41.44216867,56.66626506,1618.75,2212.5,1931,647,25233,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA02P_99106,0,18106.25,35168.75,37,6470,6470,0,18,24.34866782,18.0146875,3.96003747,1,slide_placement,_doc,#NAME?,1,136,2074,76163.4,TRUE,25309.2,25702.2,775,154,774,798,TRUE,TRUE,TRUE,24,-621,24,,,,,,,TRUE,TRUE,FALSE,TRUE,1.2,26,CS002,H01CBA02P,,CS002-1-1618411711877,1,2,2021-04-14T17:06:05,99106,,,,,,,,,,,,,,,,,,,154,133,798,137,775,2074,121,2066,25.3092,2.25,0.9039,5.100355611,0.680347908,752,193,771,175,0.946987952,18.86363636,798,133,-27.20865279,41.08817087,-1068.75,1618.75,1938,644,25309.2,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA02P_99106,1,8931.25,27818.75,37,6510,6508.125,1.875,17,12.77786291,11.26829661,4.854238033,1,slide_placement,_doc,#NAME?,1,136,2074,76163.4,TRUE,25309.2,25702.2,775,154,774,798,TRUE,TRUE,TRUE,24,-621,24,,,,,,,TRUE,TRUE,FALSE,TRUE,1.2,26,CS002,H01CBA02P,,CS002-1-1618411711877,1,2,2021-04-14T17:06:05,99106,,,,,,,,,,,,,,,,,,,154,133,798,137,775,2074,121,2066,25.3092,2.25,0.9039,5.100355611,0.680347908,752,193,771,175,0.946987952,18.86363636,798,133,-27.20865279,41.08817087,-1068.75,1618.75,1938,644,25309.2,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA02P_99106,2,18656.25,13193.75,37,6560,6556.25,3.75,16,17.15376178,13.98441984,5.302592039,1,slide_placement,_doc,#NAME?,1,136,2074,76163.4,TRUE,25309.2,25702.2,775,154,774,798,TRUE,TRUE,TRUE,24,-621,24,,,,,,,TRUE,TRUE,FALSE,TRUE,1.2,26,CS002,H01CBA02P,,CS002-1-1618411711877,1,2,2021-04-14T17:06:05,99106,,,,,,,,,,,,,,,,,,,154,133,798,137,775,2074,121,2066,25.3092,2.25,0.9039,5.100355611,0.680347908,752,193,771,175,0.946987952,18.86363636,798,133,-27.20865279,41.08817087,-1068.75,1618.75,1938,644,25309.2,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA02P_99106,3,9518.75,45043.75,69,6470,6417.5,52.5,6,21.09996945,20.87316679,3.732498884,1,slide_placement,_doc,#NAME?,1,136,2074,76163.4,TRUE,25309.2,25702.2,775,154,774,798,TRUE,TRUE,TRUE,24,-621,24,,,,,,,TRUE,TRUE,FALSE,TRUE,1.2,26,CS002,H01CBA02P,,CS002-1-1618411711877,1,2,2021-04-14T17:06:05,99106,,,,,,,,,,,,,,,,,,,154,133,798,137,775,2074,121,2066,25.3092,2.25,0.9039,5.100355611,0.680347908,752,193,771,175,0.946987952,18.86363636,798,133,-27.20865279,41.08817087,-1068.75,1618.75,1938,644,25309.2,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA05P_99098,0,15487.5,9837.5,25,6290,6290,0,12,21.7052235,28.1908258,4.025486946,1,slide_placement,_doc,sBlc0XgBY1V5ZLgk5hWD,1,95,2041,75894,TRUE,25389,25818,767,86,766,737,TRUE,TRUE,TRUE,-29,-681,-29,,,,,,,TRUE,TRUE,FALSE,TRUE,1.2,26,CS002,H01CBA05P,,CS002-2-1618411711879,1,2,2021-04-14T17:10:29,99098,,,,,,,,,,,,,,,,,,,86,97,737,87,768,2032,104,2041,25.389,2.4,-1.209,5.424218802,-0.913236182,766,172,791,147,0.939759036,24.9,768,87,22.44216867,59.66626506,881.25,2331.25,1946,651,25389,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA05P_99098,1,16475,31756.25,25,6290,6291.875,-1.875,13,14.1870244,30.9720747,2.762402058,1,slide_placement,_doc,sBlc0XgBY1V5ZLgk5hWD,1,95,2041,75894,TRUE,25389,25818,767,86,766,737,TRUE,TRUE,TRUE,-29,-681,-29,,,,,,,TRUE,TRUE,FALSE,TRUE,1.2,26,CS002,H01CBA05P,,CS002-2-1618411711879,1,2,2021-04-14T17:10:29,99098,,,,,,,,,,,,,,,,,,,86,97,737,87,768,2032,104,2041,25.389,2.4,-1.209,5.424218802,-0.913236182,766,172,791,147,0.939759036,24.9,768,87,22.44216867,59.66626506,881.25,2331.25,1946,651,25389,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA02P_99113,0,21606.25,24793.75,37,6510,6513.75,-3.75,20,20.50258629,32.86582001,3.68176651,1,slide_placement,_doc,5Rlg0XgBY1V5ZLgkDD2V,1,141,2081,76242,TRUE,25505.7,26252.4,796,152,776,801,TRUE,TRUE,TRUE,25,-644,25,,,,,,,TRUE,TRUE,FALSE,TRUE,1.3,28,CS002,H01CBA02P,,CS002-1-1618411711877,1,4,2021-04-14T17:13:56,99113,,,,,,,,,,,,,,,,,,,152,136,801,142,796,2081,128,2070,25.5057,2.25,0.1965,5.060958739,0.147745856,752,193,771,175,0.946987952,18.86363636,801,136,-30.20865279,38.08817087,-1181.25,1500,1940,649,25505.7,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA02P_99113,1,14950,42231.25,37,6430,6433.75,-3.75,20,25.61391915,38.23387887,5.897789478,1,slide_placement,_doc,5Rlg0XgBY1V5ZLgkDD2V,1,141,2081,76242,TRUE,25505.7,26252.4,796,152,776,801,TRUE,TRUE,TRUE,25,-644,25,,,,,,,TRUE,TRUE,FALSE,TRUE,1.3,28,CS002,H01CBA02P,,CS002-1-1618411711877,1,4,2021-04-14T17:13:56,99113,,,,,,,,,,,,,,,,,,,152,136,801,142,796,2081,128,2070,25.5057,2.25,0.1965,5.060958739,0.147745856,752,193,771,175,0.946987952,18.86363636,801,136,-30.20865279,38.08817087,-1181.25,1500,1940,649,25505.7,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA05P_99101,0,16268.75,44881.25,25,6150,6150,0,12,38.78774395,20.08166461,4.448927879,1,slide_placement,_doc,URli0XgBY1V5ZLgk3Fr8,1,93,2016,74997,TRUE,25389,25935,773,87,771,738,TRUE,TRUE,TRUE,-33,-686,-33,,,,,,,TRUE,TRUE,FALSE,TRUE,1.4,30,CS002,H01CBA05P,,CS002-2-1618411711879,1,3,2021-04-14T17:17:00,99101,,,,,,,,,,,,,,,,,,,87,99,738,93,773,2012,106,2016,25.389,2.4,-1.365,5.424218802,-1.045056529,766,172,791,147,0.939759036,24.9,773,93,17.44216867,53.66626506,681.25,2093.75,1923,651,25389,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA05P_99101,1,18781.25,53381.25,25,6130,6124.375,5.625,9,15.84034212,9.473382574,2.140207529,1,slide_placement,_doc,URli0XgBY1V5ZLgk3Fr8,1,93,2016,74997,TRUE,25389,25935,773,87,771,738,TRUE,TRUE,TRUE,-33,-686,-33,,,,,,,TRUE,TRUE,FALSE,TRUE,1.4,30,CS002,H01CBA05P,,CS002-2-1618411711879,1,3,2021-04-14T17:17:00,99101,,,,,,,,,,,,,,,,,,,87,99,738,93,773,2012,106,2016,25.389,2.4,-1.365,5.424218802,-1.045056529,766,172,791,147,0.939759036,24.9,773,93,17.44216867,53.66626506,681.25,2093.75,1923,651,25389,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA05P_99101,2,16106.25,30962.5,25,6174.375,6174.375,0,12,47.51867766,18.18428139,2.732131958,1,slide_placement,_doc,URli0XgBY1V5ZLgk3Fr8,1,93,2016,74997,TRUE,25389,25935,773,87,771,738,TRUE,TRUE,TRUE,-33,-686,-33,,,,,,,TRUE,TRUE,FALSE,TRUE,1.4,30,CS002,H01CBA05P,,CS002-2-1618411711879,1,3,2021-04-14T17:17:00,99101,,,,,,,,,,,,,,,,,,,87,99,738,93,773,2012,106,2016,25.389,2.4,-1.365,5.424218802,-1.045056529,766,172,791,147,0.939759036,24.9,773,93,17.44216867,53.66626506,681.25,2093.75,1923,651,25389,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA05P_99101,3,17418.75,17756.25,47,6174.375,6204.375,-30,39,36.66062859,20.33017983,2.075340271,1,slide_placement,_doc,URli0XgBY1V5ZLgk3Fr8,1,93,2016,74997,TRUE,25389,25935,773,87,771,738,TRUE,TRUE,TRUE,-33,-686,-33,,,,,,,TRUE,TRUE,FALSE,TRUE,1.4,30,CS002,H01CBA05P,,CS002-2-1618411711879,1,3,2021-04-14T17:17:00,99101,,,,,,,,,,,,,,,,,,,87,99,738,93,773,2012,106,2016,25.389,2.4,-1.365,5.424218802,-1.045056529,766,172,791,147,0.939759036,24.9,773,93,17.44216867,53.66626506,681.25,2093.75,1923,651,25389,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA05P_99101,4,14043.75,13087.5,47,6204.375,6223.125,-18.75,33,25.64377238,8.110027077,1.555324793,1,slide_placement,_doc,URli0XgBY1V5ZLgk3Fr8,1,93,2016,74997,TRUE,25389,25935,773,87,771,738,TRUE,TRUE,TRUE,-33,-686,-33,,,,,,,TRUE,TRUE,FALSE,TRUE,1.4,30,CS002,H01CBA05P,,CS002-2-1618411711879,1,3,2021-04-14T17:17:00,99101,,,,,,,,,,,,,,,,,,,87,99,738,93,773,2012,106,2016,25.389,2.4,-1.365,5.424218802,-1.045056529,766,172,791,147,0.939759036,24.9,773,93,17.44216867,53.66626506,681.25,2093.75,1923,651,25389,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA02P_99116,0,10656.25,29081.25,37,6250,6250,0,18,27.67855955,10.74438318,4.130408525,1,slide_placement,_doc,Hxll0XgBY1V5ZLgksn94,1,139,2049,75063,TRUE,24916.2,25073.4,804,172,804,806,TRUE,TRUE,TRUE,2,-632,2,,,,,,,TRUE,TRUE,FALSE,TRUE,1.35,29,CS002,H01CBA02P,,CS002-1-1618411711877,1,5,2021-04-14T17:20:06,99116,,,,,,,,,,,,,,,,,,,172,139,806,150,804,2049,166,2041,24.9162,3.25,0.0786,7.494858632,0.060343118,752,193,771,175,0.946987952,18.86363636,806,139,-35.20865279,35.08817087,-1381.25,1381.25,1910,634,24916.2,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA02P_99119,0,18737.5,27731.25,37,6340,6338.125,1.875,17,42.37425959,10.30240728,4.046077013,1,slide_placement,_doc,6hlo0XgBY1V5ZLgk0Z1y,1,133,2049,75298.8,TRUE,25545,25623.6,805,146,805,796,TRUE,TRUE,TRUE,-9,-659,-9,,,,,,,TRUE,TRUE,FALSE,TRUE,1.3,28,CS002,H01CBA02P,,CS002-1-1618411711877,1,6,2021-04-14T17:23:30,99119,,,,,,,,,,,,,,,,,,,146,132,796,133,805,2049,153,2046,25.545,2.25,-0.3537,5.053152382,-0.269135653,752,193,771,175,0.946987952,18.86363636,805,132,-34.20865279,42.08817087,-1343.75,1656.25,1915,650,25545,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA02P_99119,1,19962.5,32187.5,37,6318.125,6318.125,0,18,8.044799834,11.71665684,2.160316229,1,slide_placement,_doc,6hlo0XgBY1V5ZLgk0Z1y,1,133,2049,75298.8,TRUE,25545,25623.6,805,146,805,796,TRUE,TRUE,TRUE,-9,-659,-9,,,,,,,TRUE,TRUE,FALSE,TRUE,1.3,28,CS002,H01CBA02P,,CS002-1-1618411711877,1,6,2021-04-14T17:23:30,99119,,,,,,,,,,,,,,,,,,,146,132,796,133,805,2049,153,2046,25.545,2.25,-0.3537,5.053152382,-0.269135653,752,193,771,175,0.946987952,18.86363636,805,132,-34.20865279,42.08817087,-1343.75,1656.25,1915,650,25545,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA02P_99119,2,10868.75,39412.5,37,6280,6276.25,3.75,16,41.71073889,11.15121544,5.534729481,1,slide_placement,_doc,6hlo0XgBY1V5ZLgk0Z1y,1,133,2049,75298.8,TRUE,25545,25623.6,805,146,805,796,TRUE,TRUE,TRUE,-9,-659,-9,,,,,,,TRUE,TRUE,FALSE,TRUE,1.3,28,CS002,H01CBA02P,,CS002-1-1618411711877,1,6,2021-04-14T17:23:30,99119,,,,,,,,,,,,,,,,,,,146,132,796,133,805,2049,153,2046,25.545,2.25,-0.3537,5.053152382,-0.269135653,752,193,771,175,0.946987952,18.86363636,805,132,-34.20865279,42.08817087,-1343.75,1656.25,1915,650,25545,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA02P_99119,3,15750,44706.25,69,6276.25,6266.875,9.375,29,21.61030393,9.870093321,2.227468967,1,slide_placement,_doc,6hlo0XgBY1V5ZLgk0Z1y,1,133,2049,75298.8,TRUE,25545,25623.6,805,146,805,796,TRUE,TRUE,TRUE,-9,-659,-9,,,,,,,TRUE,TRUE,FALSE,TRUE,1.3,28,CS002,H01CBA02P,,CS002-1-1618411711877,1,6,2021-04-14T17:23:30,99119,,,,,,,,,,,,,,,,,,,146,132,796,133,805,2049,153,2046,25.545,2.25,-0.3537,5.053152382,-0.269135653,752,193,771,175,0.946987952,18.86363636,805,132,-34.20865279,42.08817087,-1343.75,1656.25,1915,650,25545,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA02P_99119,4,20843.75,49581.25,69,6266.875,6221.875,45,10,45.98033466,10.88227379,2.313054085,1,slide_placement,_doc,6hlo0XgBY1V5ZLgk0Z1y,1,133,2049,75298.8,TRUE,25545,25623.6,805,146,805,796,TRUE,TRUE,TRUE,-9,-659,-9,,,,,,,TRUE,TRUE,FALSE,TRUE,1.3,28,CS002,H01CBA02P,,CS002-1-1618411711877,1,6,2021-04-14T17:23:30,99119,,,,,,,,,,,,,,,,,,,146,132,796,133,805,2049,153,2046,25.545,2.25,-0.3537,5.053152382,-0.269135653,752,193,771,175,0.946987952,18.86363636,805,132,-34.20865279,42.08817087,-1343.75,1656.25,1915,650,25545,FALSE,FALSE,,,FALSE,14/04/2021,both
